readiness,lane,bucket,score,address,thesis,alert_policy,risk,total_pnl,roi,win_rate,breakeven_payoff,max_drawdown_pct,closed_positions,avg_pnl_per_closed,account_value,leverage_ratio,open_positions_count,current_upnl,open_positions,behavior_tier,sortino_30d,mdd_30d_pct,consistency_30d_pct,data_quality,source_conflict_flag,recent_realized_sample,recent_sample_win_rate,recent_payoff_ratio,recent_profit_factor,recent_net_pnl,clean_tokens,noisy_tokens,recent_symbol_mix,labels
payoff_validation_needed,research_only,review,53,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5,"Headline stats suggest asymmetry, but product value is not confirmed.","Do not alert yet. Need cleaner token history, stronger behavior tier, or confirmed payoff sample.",no clean recurring token set; trade-level payoff not confirmed; not behavior scored,26111.2,34.15,79.97,0.25,8.88,1553,16.81,7014.82,9.16,0,0,,,,,,,,0,0,0,0,0,,,,Aggr. Hi-Freq; Large Gain; Neutral; Scalper; Shrimp; Volatile Profit
payoff_validation_needed,research_only,review,52,0xe70f1efff7f7ad16f7413f3dd5772b98361ff378,"Headline stats suggest asymmetry, but product value is not confirmed.","Do not alert yet. Need cleaner token history, stronger behavior tier, or confirmed payoff sample.",no clean recurring token set; trade-level payoff not confirmed; not behavior scored,33352.72,38.74,58.09,0.721,12.06,513,65.02,9007.04,1,0,0,,,,,,,,0,0,0,0,0,,,,Aggr. Hi-Freq; Bullish; Large Gain; Scalper; Shrimp; Volatile Profit
payoff_validation_needed,research_only,review,49,0x3294a2a613e856631875e263644f27f75d2488fb,"Headline stats suggest asymmetry, but product value is not confirmed.","Do not alert yet. Need cleaner token history, stronger behavior tier, or confirmed payoff sample.",no clean recurring token set; trade-level payoff not confirmed; not behavior scored,42443.81,53.97,66.58,0.502,16.45,1161,36.56,34599.28,1,1,94.4,"MORPHO L $34,899 uPnL $94 liq 0.0000984744",,,,,,,3,0,0,0,-8886.4,,,"MORPHO 5x $317,660 pnl $-8,886 L/S 5/0",Aggr. Hi-Freq; Bullish; Large Gain; Scalper; Shark; Volatile Profit
payoff_validation_needed,research_only,review,46,0xda3768e9299e1fd81708ec030dac5ea37125f7b5,"Headline stats suggest asymmetry, but product value is not confirmed.","Do not alert yet. Need cleaner token history, stronger behavior tier, or confirmed payoff sample.",no clean recurring token set; trade-level payoff not confirmed; not behavior scored,40984.8,43.26,53.5,0.869,18.69,957,42.83,2192.26,1,0,0,,,,,,,,4,25,0.06,0.02,-109.11,,xyz:COPPER; xyz:CL; xyz:SNDK,"xyz:COPPER 63x $108,311 pnl $-111 L/S 1/62; xyz:CL 25x $199,762 pnl $0 L/S 25/0; xyz:SNDK 12x $10,580 pnl $2 L/S 3/9",Aggr. Hi-Freq; Breakeven; Large Gain; Neutral; Scalper; Shrimp
payoff_validation_needed,research_only,review,46,0x929689eafa23fc78a04d1a1f700cc901525007cc,"Headline stats suggest asymmetry, but product value is not confirmed.","Do not alert yet. Need cleaner token history, stronger behavior tier, or confirmed payoff sample.",no clean recurring token set; trade-level payoff not confirmed; not behavior scored,39696.04,49.57,53.44,0.871,18.7,799,49.68,20849.85,12.36,0,0,,,,,,,,0,0,0,0,0,,,,Breakeven; Long-term; Neutral; Shark; Small Gain; Volatile Strategy
payoff_validation_needed,research_only,review,32,0x049db0bdc4a8569bacb8f33210af514a82aec838,"Headline stats suggest asymmetry, but product value is not confirmed.","Do not alert yet. Need cleaner token history, stronger behavior tier, or confirmed payoff sample.",trade-level payoff not confirmed; not behavior scored,31559.2,42.67,72.82,0.373,24.02,1126,28.03,38173.84,1.87,1,-16308.75,"HYPE S $71,759 uPnL $-16,309 liq 69.5979265613",,,,,,,1,0,0,0,-7448.92,HYPE,,"HYPE 2x $87,557 pnl $-7,449 L/S 1/1",Breakeven; Bullish; Large Gain; Shark; Swinger; Volatile Strategy
data_conflict_review,manual_review,asymmetric_watch,70,0xd2147a366e335b89b68ace628923962393b56813,"Stats may be interesting, but the behavior layer or PnL source does not support productizing yet.",Do not sell yet. Re-check data source and live book before alerting.,review_pnl_source_mismatch; behavior tier asymmetric_behavior,188689.47,56.77,66.6,0.502,1.61,509,370.71,276917.29,1,0,0,,asymmetric_behavior,12.72,2.84,81.8,usable,review_pnl_source_mismatch,4,75,5.91,17.74,20819.87,,xyz:CL; @107,"xyz:CL 4x $201,244 pnl $-1,244 L/S 1/3; @107 3x $124,243 pnl $22,064 L/S 0/3",Bearish; Breakeven; Large Gain; Short-term; Volatile Strategy; Whale
data_conflict_review,manual_review,asymmetric_watch,65,0x613ead0ea5af374af0ccfc117ef116a8e8d133fe,"Stats may be interesting, but the behavior layer or PnL source does not support productizing yet.",Do not sell yet. Re-check data source and live book before alerting.,review_pnl_source_mismatch; behavior tier low_pnl_unproven,99833.97,126.7,46.3,1.16,9.77,905,110.31,263645.24,2.26,1,32788.75,"HYPE L $597,681 uPnL $32,789 liq 28.0161902592",low_pnl_unproven,-1.1,0,28.6,usable_but_sparse,review_pnl_source_mismatch,4,50,0.34,0.34,-6084.57,HYPE; BTC,,"HYPE 11x $1,316,862 pnl $-5,709 L/S 11/0; BTC 2x $405,093 pnl $-376 L/S 2/0",Asymmetric Pro; Breakeven; Bullish; Large Gain; Scalper; Whale
data_conflict_review,manual_review,asymmetric_watch,60,0xac82b3772ca54a154092e27109f61a31a6d743a5,"Stats may be interesting, but the behavior layer or PnL source does not support productizing yet.",Do not sell yet. Re-check data source and live book before alerting.,behavior tier incomplete_data,165064.42,77.06,75.55,0.324,10.32,1366,120.84,214199.15,3,0,0,,incomplete_data,,0,100,incomplete_lt_7_points,,0,0,0,0,0,,,,Asymmetric Pro; Bullish; Large Gain; Scalper; Sustained Profit; Whale
data_conflict_review,manual_review,asymmetric_watch,49,0x837686cfda8a79adfb8465d39240c54166bf9a1e,"Stats may be interesting, but the behavior layer or PnL source does not support productizing yet.",Do not sell yet. Re-check data source and live book before alerting.,review_pnl_source_mismatch; behavior tier incomplete_data,530235.01,36.71,58.36,0.714,10.26,550,964.06,1455814.9,1.72,5,565972.13,"ETH S $1,453,975 uPnL $652,132 liq 4101.42292; BTC S $694,287 uPnL $-85,620 liq 228897.245076; PAXG S $191,853 uPnL $8,144 liq 35829.98393; BNB S $90,654 uPnL $-4,509 liq 10042.881582; SOL S $69,123 uPnL $-4,175 liq 1752.561505",incomplete_data,4.75,0,50,incomplete_lt_7_points,review_pnl_source_mismatch,0,0,0,0,0,ETH; BTC; PAXG; BNB; SOL,,"ETH 0x $1,453,975 pnl $652,132 L/S 0/1; BTC 0x $694,287 pnl $-85,620 L/S 0/1; PAXG 0x $191,853 pnl $8,144 L/S 0/1; BNB 0x $90,654 pnl $-4,509 L/S 0/1; SOL 0x $69,123 pnl $-4,175 L/S 0/1",Asymmetric Pro; Bullish; Large Gain; Mega Whale; Scalper; Sustained Profit
risk_reject,internal_only,asymmetric_watch,79,0x2cef0a7f84e722c77b271862da5fe2387028fa20,"Interesting headline stats, but risk/current drawdown behavior is not product-safe.",Do not include in paid alerts. Internal observation only.,behavior tier risk_watch,91945.42,161.75,74.11,0.349,10.26,1989,46.23,121639.45,1,0,0,,risk_watch,0.36,41.81,50,usable_but_sparse,,44,13.6,0.1,0.02,-31408.99,BTC; HYPE; ZEC,xyz:CL; xyz:XYZ100; xyz:INTC; xyz:COST; xyz:CBRS; xyz:TSLA; xyz:SNDK,"xyz:CL 28x $486,784 pnl $-14,737 L/S 22/6; xyz:XYZ100 23x $434,779 pnl $0 L/S 0/23; BTC 20x $2,153,823 pnl $-15,081 L/S 20/0; HYPE 9x $208,138 pnl $-2,095 L/S 4/5; xyz:INTC 9x $20,722 pnl $0 L/S 0/9; ZEC 7x $155,872 pnl $109 L/S 7/0; xyz:COST 1x $5,141 pnl $91 L/S 1/0; xyz:CBRS 1x $2,664 pnl $256 L/S 1/0; xyz:TSLA 1x $1,326 pnl $-8 L/S 1/0; xyz:SNDK 1x $450 pnl $56 L/S 1/0",Aggr. Hi-Freq; Bullish; Large Gain; Scalper; Volatile Profit; Whale
risk_reject,internal_only,asymmetric_watch,71,0x408d807d1dbb778f59a9c088e56d4c27bdd362ac,"Interesting headline stats, but risk/current drawdown behavior is not product-safe.",Do not include in paid alerts. Internal observation only.,behavior tier high_risk_behavior,72237.34,7223734,55.3,0.808,10.29,1235,58.49,30185.68,41.13,0,0,,high_risk_behavior,-0.11,11.17,50,usable_but_sparse,,17,52.9,1.19,1.34,5728.08,HYPE; BTC; ETH; BNB; STBL; TAO; MEGA,xyz:SP500; xyz:CL; xyz:DRAM; xyz:NFLX,"HYPE 15x $2,001,684 pnl $4,758 L/S 8/7; BTC 7x $3,280,841 pnl $-4,481 L/S 6/1; ETH 3x $466,397 pnl $-303 L/S 3/0; xyz:SP500 2x $199,826 pnl $152 L/S 1/1; xyz:CL 2x $155,821 pnl $1,145 L/S 2/0; xyz:DRAM 2x $150,720 pnl $3,937 L/S 1/1; BNB 2x $98,773 pnl $1,213 L/S 1/1; STBL 2x $19,939 pnl $-101 L/S 2/0; TAO 2x $19,895 pnl $-111 L/S 2/0; MEGA 2x $16,467 pnl $-934 L/S 2/0",Aggr. Hi-Freq; Mid Gain; Neutral; Scalper; Shark; Volatile Profit
risk_reject,internal_only,asymmetric_watch,70,0x83b1385d8126ecf64bfb3b4254d67eb9db753bcc,"Interesting headline stats, but risk/current drawdown behavior is not product-safe.",Do not include in paid alerts. Internal observation only.,behavior tier high_risk_behavior,250517.33,127.5,65.88,0.518,6.38,2790,89.79,145084.27,0.63,1,-5780.52,"DYDX L $90,770 uPnL $-5,781 liq 0",high_risk_behavior,-0.67,30.7,50,usable,review_pnl_source_mismatch,14,21.4,1.07,0.29,-34652.33,TAO; TON; GRASS; DYDX,xyz:CBRS; xyz:MU; STABLE; @107,"xyz:CBRS 18x $742,462 pnl $-28,468 L/S 18/0; xyz:MU 5x $479,563 pnl $14,263 L/S 5/0; STABLE 5x $188,472 pnl $-10,044 L/S 5/0; @107 5x $70,536 pnl $0 L/S 5/0; TAO 4x $148,027 pnl $-1,407 L/S 4/0; TON 1x $64,343 pnl $-7,639 L/S 1/0; GRASS 1x $13,614 pnl $-1,358 L/S 1/0; DYDX 0x $90,770 pnl $-5,781 L/S 1/0",Bullish; Hi-Risk Hi-Return; Large Gain; Scalper; Volatile Profit; Whale
risk_reject,internal_only,asymmetric_watch,64,0x48b4c67ff2ba52157604efac6cb4024fd8a6f44a,"Interesting headline stats, but risk/current drawdown behavior is not product-safe.",Do not include in paid alerts. Internal observation only.,behavior tier high_risk_behavior,74971.7,80.1,75.47,0.325,5.32,799,93.83,0,1,0,0,,high_risk_behavior,9.99,86.36,92.3,usable_but_sparse,review_pnl_source_mismatch,0,0,0,0,0,,,,Breakeven; Long-term; Neutral; Shrimp; Small Gain; Volatile Strategy
risk_reject,internal_only,asymmetric_watch,59,0x197d1d1127b1a1da550f089375369d5acfeb0c72,"Interesting headline stats, but risk/current drawdown behavior is not product-safe.",Do not include in paid alerts. Internal observation only.,behavior tier high_risk_behavior,71880.39,108.72,68.44,0.461,13.09,732,98.2,10014.95,1.21,1,183.49,"ASTER S $12,123 uPnL $183 liq 1.078389078",high_risk_behavior,-1.95,0.84,0,usable,,0,0,0,0,0,ASTER,,"ASTER 0x $12,123 pnl $183 L/S 0/1",Breakeven; Bullish; Shrimp; Small Gain; Swinger; Volatile Strategy
risk_reject,internal_only,risk_watch,24,0xb798aef79972ce8f73d47b9ebbcda6bbb7ec4fbf,"Interesting headline stats, but risk/current drawdown behavior is not product-safe.",Do not include in paid alerts. Internal observation only.,"candidate file bucketed as risk_watch; large open negative uPnL $-3,510,972",1950057.95,20.92,77.6,0.289,23.54,1451,1343.94,9448801.83,3.08,1,-3510972,"BTC S $29,064,490 uPnL $-3,510,972 liq 99714.600441",,,,,,,2,0,0,0,-16392.42,ETH; BTC,,"ETH 2x $388,561 pnl $-16,392 L/S 2/0; BTC 0x $29,064,490 pnl $-3,510,972 L/S 0/1",Breakeven; Bullish; Cons. Hi-Freq; Mega Whale; Mid Gain; Short-term
risk_reject,internal_only,risk_watch,17,0x202ed102cca91d1237971252eee1add2f303eb8b,"Interesting headline stats, but risk/current drawdown behavior is not product-safe.",Do not include in paid alerts. Internal observation only.,"candidate file bucketed as risk_watch; large open negative uPnL $-79,694",65408.34,53.08,79.94,0.251,24.12,623,104.99,127109.61,9.36,1,-79693.75,"BTC S $1,186,888 uPnL $-79,694 liq 95236.5556781697",,,,,,,0,0,0,0,0,BTC,,"BTC 2x $99,999 pnl $0 L/S 0/2",Breakeven; Large Gain; Neutral; Swinger; Volatile Strategy; Whale
